id,amount_tsh,funder,gps_height,installer,longitude,latitude,basin,region,district_code,lga,population,scheme_management,extraction_type,management,payment_type,water_quality,quantity,source,waterpoint_type,operational_year,status_group
79,34,1417,1426,390,9836,37131,3,17,3,25,466,12,8,11,6,3,2,7,4,13,0
80,18,1196,1655,2116,27421,32734,0,18,2,109,0,7,9,7,6,7,0,7,6,42,2
81,27,513,1279,390,14679,57516,4,13,2,54,426,12,9,7,2,4,2,7,6,25,2
82,14,456,1639,390,37455,45135,5,0,2,0,197,7,3,7,2,6,2,8,1,31,2
84,27,1868,1129,2044,14436,37151,0,19,1,94,197,7,0,7,3,6,1,3,4,17,0
86,27,1843,1129,312,11071,38176,0,19,1,94,197,7,0,7,5,6,1,3,4,15,0
87,18,1866,388,1970,48572,569,7,12,17,87,0,7,9,7,2,6,1,3,6,9,2
88,34,345,1413,390,21011,50272,4,17,1,5,623,9,8,11,2,5,2,7,4,19,1
89,27,456,1129,568,35292,22802,6,2,1,76,197,7,3,7,2,6,2,8,2,14,2
91,11,1050,1057,1055,43717,44949,5,6,6,74,50,11,14,8,5,6,2,3,2,22,2
92,39,1139,1297,1474,4264,45497,3,5,1,30,343,7,3,7,6,6,2,8,2,31,2
93,44,261,972,390,32264,4515,1,16,2,111,296,7,4,7,3,6,3,7,4,26,0
94,27,1090,1129,1241,34043,24042,6,2,4,11,197,7,7,7,5,6,2,3,1,20,0
95,27,1693,1129,1830,8798,29769,3,19,4,123,197,7,9,7,2,6,1,7,6,21,2
96,27,1342,1279,1455,13253,52414,4,13,2,54,426,7,9,7,2,6,1,7,4,23,2
97,18,757,182,390,52676,21879,8,14,2,29,45,7,9,7,5,6,2,7,4,9,2
98,23,971,1458,2033,21663,57093,4,9,6,97,763,2,14,7,2,6,0,6,2,43,2
102,48,1649,1369,1728,1910,27462,3,15,1,75,144,11,9,8,2,6,1,3,4,37,2
103,48,261,1026,336,29493,17736,6,3,1,24,0,8,3,10,0,6,1,8,1,28,0
104,18,727,2067,892,33391,15844,6,3,7,34,120,7,3,7,5,6,1,3,1,11,2
105,34,1118,397,589,45552,25088,8,11,6,83,227,7,15,7,2,6,1,7,4,40,0
106,29,456,338,390,38406,16602,6,11,3,35,149,12,9,7,2,0,2,4,4,40,0
107,25,287,365,390,50600,29389,5,20,2,44,296,7,8,7,1,6,1,7,4,12,0
108,43,261,516,337,27016,233,1,16,3,61,63,7,3,7,0,6,1,8,1,30,0
109,27,456,1129,390,17656,31775,0,19,2,19,197,11,8,7,6,3,1,7,4,19,0
111,34,1417,1426,390,9170,44504,3,17,3,25,466,12,9,11,6,3,3,7,6,14,2
112,14,324,196,1977,49599,23214,8,14,1,3,50,8,6,10,5,6,1,6,1,7,2
113,34,1122,1426,390,20042,48683,4,17,2,58,466,9,15,11,4,6,1,7,4,13,0
114,25,1866,228,2040,48690,21870,8,11,2,71,50,7,3,7,2,6,3,5,1,18,2
115,18,302,69,390,53132,27812,5,20,5,95,149,7,8,7,5,6,2,7,4,8,0
116,18,391,508,511,55912,2635,7,12,12,88,314,7,14,7,5,6,2,3,1,34,0
117,27,1843,1129,390,13640,37698,0,19,1,94,197,7,0,7,3,6,1,3,4,15,0
118,34,1740,2335,297,21248,8538,1,3,3,55,35,7,3,7,2,6,1,8,1,35,0
119,27,1196,1129,2116,18947,14174,6,10,7,59,197,8,3,10,2,6,3,6,1,14,2
120,27,1196,1129,386,6194,54991,4,4,3,81,197,7,3,7,2,6,1,8,5,15,0
121,34,1301,1571,423,48202,36299,5,6,3,101,40,7,3,6,2,6,1,8,1,9,0
122,25,513,1663,603,25287,54266,4,9,2,103,552,2,8,1,2,6,2,7,4,23,2
123,25,1219,1342,1373,22118,55316,4,9,2,103,60,2,12,1,2,6,1,7,4,10,0
124,27,487,1129,625,10502,27277,3,19,5,107,197,12,3,6,5,6,3,0,1,19,0
125,27,337,1129,390,13448,37512,0,19,1,94,197,7,6,7,2,4,1,3,1,15,2
126,25,456,1420,390,49823,30840,5,20,1,52,0,7,3,7,1,6,1,8,1,14,0
128,43,1323,2210,1432,23806,8471,1,3,4,91,50,7,3,7,0,6,1,8,1,18,0
129,34,729,1749,808,47783,36461,5,6,3,101,120,11,3,9,1,6,2,6,1,15,1
130,27,1139,1398,1259,1541,34299,3,5,2,28,426,11,3,9,1,6,1,6,1,34,2
132,34,1742,1726,390,24787,11062,6,3,4,91,50,8,3,10,1,6,0,6,1,42,2
133,44,1775,1389,1904,27276,14776,6,3,2,79,50,8,3,10,0,6,1,8,1,18,2
134,11,1868,935,2048,41804,41551,5,8,4,108,197,7,14,7,5,6,1,3,1,15,0
136,27,1830,1129,297,37133,26038,8,2,3,43,197,7,7,4,5,4,0,3,2,15,2
137,27,220,1279,299,13205,57516,4,13,6,15,426,7,9,7,2,6,2,5,1,23,0
138,27,456,1129,270,17122,11690,1,10,2,60,197,7,3,11,3,6,1,6,1,18,2
139,27,1196,1129,2116,16738,9800,1,10,4,100,197,7,3,7,2,6,2,8,1,20,0
140,8,444,848,799,44755,42783,5,6,4,73,19,8,3,10,5,6,1,8,1,19,0
142,34,1501,1806,1576,28011,10244,6,3,4,91,100,7,12,7,2,6,1,1,4,9,0
144,71,456,1015,425,46876,44639,5,6,1,96,0,0,3,0,1,6,2,8,1,17,2
145,43,979,1002,1161,30665,2323,7,16,2,111,426,7,3,7,1,6,0,6,1,45,2
146,44,261,1908,390,29853,14922,6,3,2,79,50,7,15,7,2,6,1,7,4,18,0
147,32,1649,1104,1728,22330,37552,0,18,1,23,212,7,8,7,2,6,2,7,4,28,2
148,17,302,352,427,54461,5352,7,7,14,98,873,8,3,10,2,6,4,8,2,47,2
149,27,1621,1129,1710,11093,9701,2,10,6,62,197,7,3,7,2,6,1,8,6,18,1
150,14,1271,40,1404,53386,17109,6,14,14,99,0,4,14,4,5,6,1,3,1,12,0
151,34,1649,1426,1728,18383,38793,0,17,8,40,466,7,3,7,5,6,2,6,2,13,0
152,34,456,1312,390,49737,30537,5,20,1,52,0,7,3,7,2,6,1,8,1,48,2
153,34,921,1320,998,28742,1090,1,16,3,61,19,10,3,9,2,6,0,8,1,18,2
157,34,456,1426,717,18841,48787,4,17,2,58,466,11,7,8,4,6,1,0,2,13,2
158,11,1601,1198,1696,41694,50901,0,0,6,50,247,9,0,11,3,6,2,3,4,14,0
159,14,816,2124,2000,31755,53560,0,0,5,90,149,3,14,3,2,6,2,3,1,8,1
160,29,585,333,390,40607,17998,6,11,3,35,149,8,3,7,2,6,1,6,1,14,0
161,48,1392,845,390,2292,20183,3,15,3,92,296,7,8,7,2,6,2,7,4,23,0
162,34,341,1585,390,7965,14424,2,15,2,113,197,7,4,7,2,6,1,3,4,35,2
164,12,1868,1623,299,39654,44846,5,0,7,65,257,7,3,7,6,6,2,8,1,33,0
165,27,513,1279,390,17159,50951,4,13,2,54,426,12,8,7,3,6,2,7,4,23,1
166,27,1196,1129,2116,12656,7705,1,10,5,21,197,7,8,7,6,3,3,7,4,18,0
167,12,1868,1221,2048,40686,42902,5,0,7,65,466,8,3,10,6,6,2,5,1,8,0
168,27,1273,1129,941,34363,24808,6,2,4,11,197,7,7,7,5,6,2,3,2,20,0
169,14,456,1687,390,37123,45926,5,0,2,0,197,7,3,7,2,6,1,8,1,20,0
170,27,1868,1129,2044,16118,37623,0,19,2,19,197,11,9,7,6,4,1,3,6,19,0
171,14,1196,1510,2116,38290,43475,5,0,3,1,610,10,3,9,5,6,1,8,1,20,0
173,18,690,77,390,51811,23242,8,14,2,3,0,11,7,4,5,6,1,6,1,12,0
174,29,456,343,1474,40354,17845,6,11,3,35,474,8,3,7,2,6,2,6,1,47,2
175,71,1733,1472,425,46283,48988,5,6,1,96,0,3,3,3,2,6,3,5,1,12,0
176,27,1203,1129,1330,2927,51767,4,4,11,89,197,7,9,7,2,6,1,8,6,15,1
177,27,261,1129,272,19672,6352,1,10,3,46,197,7,3,7,2,6,0,8,1,15,2
178,23,456,316,390,50768,28278,5,20,2,44,60,8,3,11,2,6,2,6,2,21,0
179,23,356,1339,446,37951,28214,0,8,5,41,824,7,14,7,5,4,2,3,1,10,1
180,5,456,1534,1474,43636,47260,5,6,4,73,0,7,3,7,2,6,2,8,6,46,2
181,18,1139,1867,1297,6669,17032,3,15,4,114,708,2,9,1,2,6,0,3,6,39,2
182,12,28,1642,68,31549,34926,0,8,2,17,250,7,3,7,2,6,2,8,1,11,0
183,18,1196,1713,2116,28999,32943,0,18,2,109,0,7,9,7,6,6,2,3,1,32,1
184,59,261,2008,390,24217,9731,6,3,4,91,125,8,3,10,0,6,1,6,2,26,0
185,27,1196,1129,2116,16065,8083,1,10,5,21,197,7,3,7,6,6,2,8,1,18,0
186,34,205,718,220,47681,34732,5,6,3,101,120,11,3,7,1,6,2,8,1,10,0
187,27,1830,1129,297,33071,24716,8,2,5,14,197,7,9,7,2,0,0,7,6,18,2
189,27,524,1279,645,14689,50036,4,13,4,45,426,7,15,7,2,6,1,3,4,23,0
190,18,803,1452,916,43208,27592,5,8,5,41,0,7,4,7,2,4,1,1,4,13,0
191,18,1196,1255,2116,21576,31896,0,18,2,109,0,7,14,7,5,6,2,3,1,20,0
192,27,1196,1129,2116,22139,14089,6,10,7,59,197,7,3,7,2,6,3,6,1,14,0
193,27,1588,1129,1694,6387,55177,4,4,3,81,197,7,3,7,2,6,1,8,5,15,2
194,34,530,1427,609,21508,57516,4,17,1,5,466,3,15,3,2,6,1,7,4,13,1
195,43,979,1075,390,29939,3421,7,16,2,111,466,7,3,7,1,6,1,6,1,8,0
196,48,1370,1944,1518,33145,16542,6,3,7,34,552,7,3,7,2,6,1,6,1,8,2
197,48,1372,1268,1518,5179,24601,2,15,1,75,466,4,4,4,2,6,1,3,4,28,0
198,18,1196,1625,2116,25476,29627,0,18,2,109,0,7,9,7,6,7,0,7,6,42,2
199,43,1319,2302,1427,22431,8928,1,3,4,91,50,7,3,7,3,6,1,8,1,9,0
200,71,707,1629,876,45933,46959,5,6,1,96,0,0,3,0,1,6,1,8,1,13,0
201,8,1273,1576,429,32497,43474,0,0,11,27,851,7,3,7,5,6,2,6,2,18,0
202,34,312,1619,390,8192,14720,2,15,2,113,343,7,8,7,2,6,1,7,4,22,0
203,18,62,318,96,56942,3650,7,12,1,77,466,7,7,7,5,6,1,3,2,8,2
204,27,261,1129,390,11790,10943,2,10,6,62,197,7,3,7,3,6,2,6,1,18,0
205,34,456,1329,390,49444,34729,5,20,1,52,0,7,3,7,2,6,1,8,1,9,0
206,11,456,1062,390,39408,41804,5,0,2,0,100,7,3,7,5,6,2,8,1,9,0
207,27,1114,1129,360,3531,53009,4,4,11,89,197,7,3,7,2,6,1,8,1,15,0
209,27,136,1129,390,31925,31437,0,2,1,42,197,7,1,7,5,6,1,3,1,14,0
210,27,727,1129,807,12646,11267,2,10,6,62,197,7,8,7,3,6,1,7,4,18,2
212,27,1196,1129,2116,25738,15591,6,10,7,59,197,7,3,7,0,6,3,6,1,14,0
213,34,1417,1426,390,9877,38183,3,17,3,25,466,12,9,11,6,3,2,7,6,13,0
214,17,390,264,484,52380,5284,7,7,14,98,314,7,8,7,2,4,2,7,4,42,2
215,29,1479,387,390,33795,14300,6,11,3,35,680,12,9,7,2,6,2,7,6,11,2
218,34,1634,1426,1713,20988,39554,0,17,6,64,466,8,6,10,5,6,1,7,2,13,0
221,18,0,30,1,55917,21690,8,1,3,119,80,5,7,11,5,4,3,3,1,20,0
222,29,1649,1524,1728,25737,34174,0,18,1,23,319,7,0,7,3,6,1,3,4,15,2
223,27,1730,1129,1847,6891,54383,4,4,3,81,197,7,3,7,5,6,1,8,1,15,0
224,11,780,1642,937,42218,48151,5,6,7,106,0,10,3,9,1,6,1,8,1,18,0
225,27,456,1279,1474,16891,51102,4,13,2,45,426,7,14,7,2,6,2,3,2,23,2
226,59,1196,45,2116,56709,17295,6,14,15,53,22,7,14,7,2,6,1,8,1,10,0
227,34,1323,1426,1432,19651,39821,0,17,8,40,466,3,17,3,5,6,2,6,1,13,0
229,25,513,1619,645,25514,55404,4,9,2,103,75,2,3,1,2,6,1,5,4,25,1
230,27,456,1129,571,12787,14706,2,10,1,13,197,7,3,7,1,6,1,8,1,14,0
231,18,1271,166,390,52279,22448,8,14,2,29,9,4,3,4,5,6,2,6,1,9,0
233,18,390,164,509,56574,5311,7,7,16,47,384,12,9,7,6,3,2,7,4,40,2
234,14,1196,1517,2116,29490,32017,0,18,2,109,804,7,7,7,5,6,2,3,1,20,0
235,34,1868,1426,2048,9218,44524,3,17,3,25,466,12,9,11,6,3,3,7,6,14,2
236,27,1196,1129,2116,22982,14489,6,10,7,59,197,8,3,10,2,6,3,6,1,14,0
237,34,463,1044,579,46516,39114,5,6,2,84,19,10,3,9,2,6,2,8,1,22,1
238,11,780,1081,937,41943,45069,5,6,7,106,0,10,3,9,1,6,1,8,1,12,0
240,43,560,1771,240,5202,17588,2,15,3,92,343,7,3,7,0,6,2,6,1,37,0
241,34,1408,1426,390,7870,43742,3,17,5,9,466,3,8,3,6,6,2,7,4,13,0
242,34,971,752,390,35971,364,7,16,5,86,247,7,3,7,3,6,0,6,1,48,2
244,34,1417,1426,390,9162,37419,3,17,3,25,466,12,9,11,6,6,2,7,6,13,2
245,12,971,1246,390,34072,37295,0,8,1,2,23,7,3,7,2,6,1,8,1,22,0
246,27,727,1129,807,9628,10267,2,10,6,62,197,7,8,7,3,6,1,7,4,18,2
248,25,899,1380,987,22047,55265,4,9,2,103,60,9,0,11,2,4,1,7,4,20,0
249,53,1866,469,744,43771,22655,8,11,1,36,90,7,14,11,1,6,1,3,1,14,0
250,27,456,1129,571,19092,36109,0,19,2,19,197,11,3,4,5,6,2,0,6,19,0
252,34,292,357,390,35609,12416,6,11,4,122,384,12,15,7,2,6,1,7,4,26,0
253,27,1205,1606,1331,657,33954,3,5,2,31,484,11,3,9,1,6,1,6,2,19,2
254,11,855,1412,1071,41234,47246,5,6,7,106,0,10,3,9,1,6,1,8,1,11,0
256,34,727,2008,297,21777,7832,1,3,3,55,35,7,3,7,2,6,1,8,1,36,0
257,8,290,511,368,42453,22332,8,11,1,36,247,7,14,11,5,6,2,3,1,21,2
258,27,1830,1129,568,36593,20608,6,2,1,76,197,7,3,7,2,6,2,8,2,14,1
260,27,1258,1279,390,11535,51580,4,13,3,22,426,7,15,7,2,6,1,7,4,23,0
261,27,1196,1129,2116,11512,7979,1,10,5,21,197,7,8,7,6,6,3,7,4,18,0
262,18,1273,49,404,53487,23675,8,14,1,3,60,0,6,4,5,6,1,6,1,7,0
264,14,1107,1135,1247,30051,44204,0,0,5,90,207,7,3,7,2,6,2,8,1,17,2
265,18,396,308,505,56523,1288,7,12,4,116,0,10,14,7,2,6,0,3,2,40,2
266,34,1540,316,1592,37538,16379,6,11,3,35,247,12,8,7,1,6,2,7,4,9,0
267,27,1342,1279,1499,14483,50597,4,13,4,45,426,7,15,7,2,6,2,7,4,23,0
268,27,743,1129,837,7569,56376,4,4,2,7,197,7,3,7,2,6,1,8,5,18,1
269,27,261,1129,272,19418,7235,1,10,3,46,197,7,3,7,1,6,1,8,1,15,0
271,34,1417,1426,390,9227,42616,3,17,3,25,466,12,8,11,6,3,2,7,4,14,0
272,12,971,1252,390,34092,37252,0,8,1,2,23,7,3,7,2,6,1,8,1,22,0
274,27,456,1279,571,13205,57516,4,13,6,15,426,7,6,7,6,7,0,0,2,23,2
275,48,212,832,390,2540,20487,3,15,3,92,0,7,15,7,2,6,1,3,4,10,2
276,27,456,1279,536,12354,50087,4,13,7,67,426,7,6,7,2,6,1,2,2,23,2
278,34,1196,31,2116,57059,18189,6,14,6,53,552,7,0,7,2,6,1,3,4,10,0
279,34,456,1889,390,48866,33909,5,20,1,52,0,7,8,7,2,6,1,7,4,35,2
280,27,261,1129,272,19134,6465,1,10,3,46,197,7,3,7,2,6,0,8,1,15,2
281,12,456,1184,1474,40331,42646,5,0,7,65,130,7,3,7,6,6,3,6,1,26,0
283,12,1180,1554,1335,40113,47659,0,0,7,65,197,7,3,11,6,6,1,8,1,10,0
284,18,391,575,511,55365,2639,7,12,12,88,363,7,14,7,5,6,1,3,1,34,2
285,27,1804,1129,1304,6326,54358,4,4,3,81,197,7,3,7,2,6,1,8,5,15,2
287,27,513,1279,390,14679,57516,4,13,2,54,426,7,15,7,2,6,2,7,4,25,0
288,47,1119,272,390,45608,19191,8,11,2,71,257,7,15,7,3,6,1,7,4,38,2
289,76,1503,1671,2129,24493,11349,6,3,4,91,394,8,3,10,1,6,1,6,1,14,0
290,27,456,1129,568,36346,22689,8,2,1,76,197,7,9,7,1,6,2,8,6,14,2
291,44,1790,1368,1927,30402,5565,1,16,2,111,552,7,3,7,2,6,1,6,1,10,0
292,27,1579,1279,1644,8405,52806,4,13,5,102,426,7,8,7,1,6,1,7,4,23,0
294,27,261,1129,337,14693,12164,2,10,2,60,197,7,3,11,3,6,0,6,1,18,2
295,27,524,1279,645,15606,48892,4,13,4,45,426,7,8,7,4,6,2,7,4,23,0
296,71,707,1194,876,46693,48617,5,6,1,96,0,0,3,0,1,6,2,8,1,11,0
297,47,979,821,390,32857,1691,7,16,2,111,426,7,3,7,0,6,1,6,1,18,0
298,25,1550,718,1675,39251,19953,8,11,1,36,50,7,3,7,1,6,1,6,1,9,0
299,18,971,1167,690,28376,26623,0,18,3,56,426,7,7,7,6,6,1,3,2,48,2
300,34,1271,578,1406,24979,696,1,16,3,61,90,7,3,3,1,6,1,8,1,7,0
301,59,261,1298,336,33568,19093,6,3,1,24,512,7,3,7,0,6,1,8,1,33,0
302,34,977,1768,1159,29367,6786,1,3,4,91,19,7,3,7,2,6,1,8,1,20,0
305,23,261,1087,390,806,30092,3,5,3,31,247,9,3,7,1,6,1,6,1,13,0
306,25,292,223,320,46985,19255,8,11,2,71,399,7,9,7,3,7,0,7,6,21,2
307,48,1733,1724,390,23354,5940,1,3,5,51,29,7,3,7,3,6,0,8,1,28,2
308,23,22,1240,390,12844,53400,4,13,1,121,552,12,4,7,1,6,2,7,4,8,0
310,18,624,326,895,52598,3574,7,7,14,98,247,7,5,7,5,4,1,3,4,13,2
311,27,1868,1129,312,12014,37456,0,19,1,94,197,7,8,7,3,6,2,7,4,15,0
312,27,1830,1129,568,36408,23181,8,2,1,76,197,7,3,7,0,6,1,8,1,14,0
313,27,513,1334,390,12186,53654,4,13,1,121,426,12,9,7,2,6,2,7,6,22,1
314,27,618,1129,732,3862,50231,3,4,11,89,197,7,4,7,2,6,1,7,4,15,0
315,27,456,1129,390,7260,56220,4,4,2,7,197,7,3,7,2,6,2,5,1,18,1
316,27,22,1260,390,12652,53397,4,13,1,121,466,12,4,7,2,6,2,7,4,8,2
317,14,1634,168,1713,56847,4677,7,7,10,47,0,3,8,3,2,6,3,5,4,7,0
318,14,62,103,41,55338,20676,8,14,13,69,763,7,8,7,2,6,1,7,4,8,2
319,18,1196,1401,2116,36734,42703,0,0,1,70,0,7,3,7,2,6,3,8,1,9,0
321,27,1657,1129,1744,10629,29375,3,19,6,115,197,7,9,7,2,6,0,7,6,19,2
323,27,1357,1279,390,14679,57516,4,13,2,54,426,12,15,7,2,6,2,7,4,25,2
325,23,1532,657,390,36661,9,7,16,5,86,247,9,8,11,5,6,1,7,4,22,0
326,27,1139,1145,1259,801,33352,3,5,2,28,333,11,3,9,1,6,2,6,2,36,1
327,18,40,1281,27,15419,53370,4,9,4,10,884,9,9,11,2,6,1,7,4,23,2
328,27,1790,1741,1331,533,34605,3,5,2,31,817,11,9,7,2,6,1,8,6,28,0
330,55,456,982,390,682,30704,3,5,3,31,125,9,3,7,0,6,1,6,2,43,0
331,25,290,1146,368,41231,26227,8,11,1,36,132,7,8,7,2,6,1,7,4,21,0
332,18,1866,1386,39,25568,26892,6,18,3,56,197,7,7,7,5,4,1,3,2,11,2
333,23,899,1900,1107,24904,56455,4,9,1,118,466,12,0,4,5,6,1,7,4,21,2
334,29,456,357,1245,39856,16991,6,11,3,35,391,12,0,1,2,6,2,3,4,37,2
335,14,1813,31,1990,53252,27922,5,20,5,95,1,4,9,4,2,4,2,7,6,60,2
336,18,62,280,96,56853,2577,7,12,1,77,334,7,14,7,6,4,1,3,2,7,2
337,38,588,918,390,220,31142,3,5,3,31,426,9,3,7,1,6,1,6,2,10,0
338,34,1866,629,1025,36657,3,7,16,5,86,426,12,9,6,6,6,4,3,6,8,2
339,27,727,1129,807,13357,8927,1,10,2,60,197,7,8,11,3,6,1,7,4,18,0
342,48,1370,1658,1995,32621,17468,6,3,1,24,425,7,3,7,2,6,1,8,1,7,0
343,12,456,1183,1474,41204,43854,5,0,7,65,120,7,3,7,6,6,2,6,1,58,2
344,34,1203,1428,1330,990,35478,3,5,2,28,503,11,8,7,3,6,1,7,4,23,0
345,18,1196,1549,2116,26609,28610,0,18,2,109,0,7,7,7,6,7,0,3,1,42,2
346,34,1122,1426,390,20567,47767,0,17,2,58,466,9,8,11,4,6,1,7,4,13,0
347,34,1742,1636,390,24356,11386,6,3,4,91,113,8,3,10,1,6,1,6,1,42,0
348,5,179,1005,390,45011,43422,5,6,4,73,0,10,3,9,5,6,1,8,1,11,2
349,29,1480,368,390,34421,14613,6,11,3,35,197,12,8,7,2,6,2,7,4,18,0
350,18,390,493,508,51203,4579,7,7,3,85,207,7,9,7,2,4,2,3,6,34,2
351,5,456,1455,390,44377,45056,5,6,4,73,60,7,3,7,6,6,1,8,1,48,0
