id,status_group
51847,functional needs repair
55647,functional needs repair
17923,functional needs repair
71743,functional
51539,non functional
73819,functional needs repair
66881,functional
58768,non functional
2648,functional
68933,functional
12427,functional needs repair
16633,functional
24123,functional
58551,functional
17132,functional
3027,non functional
2651,functional
25998,non functional
63400,functional
50028,non functional
67897,functional
21425,functional needs repair
71756,functional needs repair
16862,functional
15420,functional
47784,non functional
712,functional needs repair
54368,non functional
2866,functional needs repair
51130,functional
27993,functional needs repair
21621,functional
66038,non functional
42182,non functional
17694,functional
57759,functional needs repair
47978,functional
52359,non functional
69656,functional
24086,functional needs repair
43579,non functional
43284,non functional
2877,non functional
21171,functional needs repair
40982,non functional
48396,functional
13323,functional needs repair
28467,functional
2768,functional needs repair
73593,non functional
65164,functional
69976,functional needs repair
52145,functional
49259,functional needs repair
23542,functional needs repair
69848,functional needs repair
9305,non functional
14359,functional
28925,functional needs repair
21243,non functional
10616,non functional
73667,functional
20566,non functional
63711,functional
72840,functional needs repair
31651,non functional
3782,functional needs repair
6799,functional needs repair
21402,non functional
35390,non functional
12636,functional needs repair
36887,functional
20086,functional
5634,non functional
48029,non functional
29927,functional
2930,non functional
41800,non functional
68349,functional
61678,functional needs repair
30270,functional
4678,non functional
9392,non functional
20735,functional needs repair
49300,non functional
70339,functional needs repair
25572,functional
61445,functional
32190,functional needs repair
39189,non functional
14853,functional
52207,functional needs repair
48035,functional
73122,functional needs repair
16352,functional needs repair
42721,non functional
15116,functional needs repair
7837,functional needs repair
56907,non functional
46382,functional
64521,non functional
67362,functional
61861,functional needs repair
72139,non functional
3398,non functional
62911,functional needs repair
48152,non functional
48001,functional
64118,functional needs repair
65793,functional needs repair
61557,non functional
32352,non functional
1830,functional needs repair
50553,functional needs repair
51961,non functional
38481,functional needs repair
48371,functional
56540,non functional
18142,non functional
72934,functional
39300,non functional
40115,functional
3793,functional needs repair
59318,functional
68070,non functional
67527,non functional
34898,functional needs repair
26592,functional needs repair
67682,functional needs repair
52394,functional
32218,non functional
69045,functional needs repair
12808,functional needs repair
49250,non functional
64126,functional needs repair
64903,functional needs repair
35165,non functional
9543,functional needs repair
64635,non functional
47929,functional needs repair
28329,non functional
67954,functional needs repair
16575,non functional
16612,functional
27003,non functional
73324,functional
7043,functional needs repair
22174,functional
19450,functional
35825,functional needs repair
9854,non functional
23254,functional
72170,functional needs repair
61999,non functional
70354,functional
6877,functional needs repair
47323,functional
48624,functional needs repair
6148,non functional
59698,functional needs repair
67268,functional needs repair
59174,functional
68916,non functional
28358,non functional
57453,functional needs repair
71952,functional
1761,functional needs repair
15234,non functional
60021,functional
22567,non functional
17695,non functional
19872,functional needs repair
22828,non functional
34896,functional
35570,non functional
41325,non functional
8831,functional
5345,non functional
19379,functional needs repair
5514,functional
61654,functional
40482,functional needs repair
43123,functional needs repair
40492,functional
68733,functional
3952,non functional
70288,non functional
30085,functional
65837,non functional
34752,functional needs repair
2465,functional
11466,functional needs repair
22313,functional needs repair
30179,functional needs repair
23505,non functional
48424,functional needs repair
11150,functional needs repair
70368,non functional
26935,non functional
5919,functional needs repair
2134,functional
16652,functional needs repair
59302,functional
24210,non functional
6211,functional
19743,functional needs repair
10760,functional
48104,non functional
50171,functional
63137,non functional
38301,functional
10948,functional needs repair
33232,non functional
61415,non functional
69131,non functional
73555,non functional
46610,non functional
20922,functional
55743,non functional
19341,functional needs repair
9588,non functional
3293,functional needs repair
55490,functional
67678,functional
36119,functional needs repair
62775,functional
68162,functional needs repair
66128,functional needs repair
12036,non functional
15739,functional
57048,functional needs repair
15825,functional
45590,non functional
18055,functional
34073,functional
14860,functional
53713,non functional
69327,functional needs repair
60169,functional needs repair
26798,functional needs repair
37122,non functional
45156,functional needs repair
22874,functional
58774,functional needs repair
40092,non functional
17487,non functional
35886,functional needs repair
49892,functional
66338,functional
35481,functional
4135,non functional
54191,non functional
31349,functional
72271,functional needs repair
48863,functional needs repair
13758,non functional
33443,functional needs repair
12003,functional
10845,functional
47,functional needs repair
70492,functional needs repair
11346,non functional
20126,non functional
51000,functional
64505,non functional
58329,functional needs repair
6311,functional needs repair
22286,non functional
35013,functional
6274,non functional
30904,functional needs repair
46606,functional needs repair
18461,functional
15256,functional
625,functional needs repair
42122,non functional
18277,functional needs repair
68501,functional
8816,functional needs repair
62879,functional
18554,functional needs repair
27712,functional
46935,non functional
57804,functional
57711,functional needs repair
5516,functional needs repair
8305,functional
57410,non functional
51412,non functional
25863,functional
35994,functional
55279,functional needs repair
74102,functional needs repair
38277,functional needs repair
1998,non functional
52056,functional
63679,functional needs repair
71762,functional needs repair
71432,functional
45592,non functional
13663,functional
62227,functional
3730,functional needs repair
2451,functional needs repair
46418,functional needs repair
45996,functional
60911,functional needs repair
46089,non functional
65579,functional needs repair
40407,functional needs repair
66663,non functional
26597,non functional
50540,functional needs repair
58133,functional
1493,non functional
31503,non functional
17910,non functional
19466,functional
38120,non functional
66553,functional needs repair
31696,functional needs repair
51318,non functional
33584,functional needs repair
48678,non functional
36112,functional needs repair
6294,non functional
40612,functional
62793,functional needs repair
58090,non functional
2532,non functional
38865,functional
35462,functional
51709,functional needs repair
40624,non functional
41745,non functional
42315,non functional
38952,functional needs repair
45540,non functional
73833,functional
27771,functional
9336,non functional
12545,functional
54811,functional
48326,functional needs repair
31787,functional
61745,non functional
42091,functional needs repair
43727,functional
46917,functional
26718,functional needs repair
3138,non functional
72932,functional needs repair
25707,non functional
68580,non functional
25064,functional needs repair
7624,non functional
3830,functional needs repair
13458,functional needs repair
57377,functional needs repair
37294,functional needs repair
39561,non functional
23237,non functional
72484,non functional
56490,functional needs repair
13706,functional needs repair
43035,functional needs repair
14084,functional
55875,functional needs repair
17299,non functional
1793,non functional
70943,functional needs repair
65720,functional needs repair
49165,functional
18879,non functional
3574,functional
56735,functional
45481,functional
51772,functional
74095,functional needs repair
54000,non functional
34834,functional
50175,functional needs repair
35733,functional needs repair
6808,non functional
27311,functional
73303,functional needs repair
70335,functional
2691,functional
12582,functional needs repair
49536,functional needs repair
23715,functional needs repair
45445,functional
52609,non functional
35087,functional needs repair
42767,functional needs repair
24373,non functional
32895,functional
9328,functional
23275,functional needs repair
20054,non functional
8378,functional
47432,non functional
49863,functional needs repair
57828,functional needs repair
31169,non functional
38382,functional needs repair
31205,functional
23528,functional needs repair
26507,non functional
67091,functional needs repair
47734,non functional
927,functional needs repair
48521,non functional
16963,functional needs repair
48233,non functional
58989,functional
2399,functional
23530,functional
46271,non functional
71726,functional needs repair
23526,functional
49861,non functional
22619,functional
41264,functional needs repair
20623,non functional
35694,functional needs repair
68210,functional needs repair
13446,functional needs repair
11321,functional needs repair
56312,functional
19533,functional needs repair
7275,functional needs repair
48614,non functional
65873,functional needs repair
9008,functional
36817,functional needs repair
25767,non functional
38460,functional needs repair
16756,functional
13310,functional needs repair
36514,functional
57548,non functional
2809,functional
70632,non functional
17260,functional needs repair
27950,non functional
40629,functional
64155,functional
50640,non functional
67355,functional needs repair
32132,functional
70868,functional needs repair
45823,non functional
19985,functional needs repair
61834,non functional
54171,functional
62763,functional
42408,functional needs repair
13151,non functional
28311,functional needs repair
57775,functional needs repair
37603,functional
56357,functional
37845,functional
57177,non functional
12821,non functional
8193,non functional
49031,functional
14011,functional
33708,functional
68898,functional needs repair
37198,functional needs repair
11151,non functional
22264,functional needs repair
49694,functional needs repair
47318,functional needs repair
46108,non functional
28297,non functional
36340,functional needs repair
26987,functional
5766,functional
25979,functional needs repair
73021,functional needs repair
11908,functional
47496,functional
61777,functional
47591,functional needs repair
8968,functional needs repair
45656,non functional
39630,non functional
2786,functional needs repair
958,functional needs repair
55843,non functional
52074,functional
23422,functional needs repair
55802,non functional
61634,non functional
1625,functional
37398,functional
51011,non functional
49595,functional
22486,functional needs repair
22916,functional
45204,functional needs repair
74223,functional needs repair
35533,functional
30595,non functional
47319,functional needs repair
32555,functional
9520,functional
53253,non functional
36436,functional needs repair
15036,non functional
23175,non functional
41998,functional
19345,non functional
1198,functional needs repair
39848,non functional
39278,functional
39844,non functional
17332,functional needs repair
51287,functional needs repair
49514,functional needs repair
64288,non functional
41782,functional needs repair
54572,non functional
68079,functional needs repair
68017,functional needs repair
66705,functional needs repair
5274,non functional
58230,non functional
51010,functional needs repair
46242,non functional
1917,functional needs repair
9361,functional
33043,non functional
56633,functional
57518,non functional
51128,functional needs repair
4388,functional
62267,functional needs repair
72473,functional
70957,functional
35399,functional
33236,non functional
73183,functional
52939,non functional
66929,non functional
54326,functional needs repair
16343,functional needs repair
33013,functional
60384,functional
41074,non functional
71997,functional needs repair
35190,functional
3425,functional needs repair
4335,non functional
7399,functional
46431,non functional
40845,functional needs repair
27347,functional
10981,functional
36447,functional needs repair
67485,functional needs repair
11220,non functional
45857,non functional
21806,functional
8771,non functional
45535,functional
8671,non functional
2252,functional needs repair
58078,functional needs repair
61068,functional
69204,functional needs repair
28326,functional
46930,functional needs repair
52104,functional needs repair
31732,non functional
21584,non functional
17045,functional
14404,non functional
34699,functional
39930,functional needs repair
38744,functional
4339,functional
54735,functional needs repair
51916,functional needs repair
58114,functional
28339,non functional
52048,non functional
66497,functional
18353,non functional
16701,functional
59499,functional needs repair
66042,functional needs repair
43965,functional needs repair
48361,non functional
70766,functional needs repair
9510,functional
28586,non functional
28521,non functional
18050,functional needs repair
73151,functional
45011,functional needs repair
64380,non functional
66896,non functional
40184,functional
67207,functional
70178,functional
54063,non functional
39252,functional needs repair
53773,non functional
47931,non functional
44168,non functional
66540,non functional
54089,functional
29244,functional
27525,non functional
58991,functional needs repair
18087,functional
67803,functional needs repair
48006,functional needs repair
11788,functional needs repair
16100,functional
16382,non functional
21208,functional
8637,functional needs repair
67008,functional needs repair
67914,functional
7041,functional
43181,non functional
26191,functional needs repair
14766,functional needs repair
49812,functional needs repair
12705,non functional
25422,functional
9399,functional needs repair
4239,non functional
49442,functional needs repair
32,functional
11443,functional needs repair
15492,functional needs repair
63498,functional needs repair
12708,non functional
19483,functional needs repair
31204,non functional
33445,functional needs repair
40820,functional needs repair
10279,functional
46718,functional
39000,functional needs repair
45897,functional
62154,functional needs repair
50034,functional needs repair
11853,functional
40426,functional needs repair
41168,functional
58978,functional needs repair
31363,non functional
32736,non functional
29058,functional needs repair
23824,functional needs repair
61885,non functional
59187,functional needs repair
73243,non functional
62915,functional needs repair
1784,non functional
65951,non functional
20661,functional
55504,functional needs repair
66975,functional
72057,functional
49331,functional needs repair
52682,functional
37859,functional
10460,functional needs repair
12407,non functional
69993,non functional
13012,functional needs repair
70896,non functional
13264,functional needs repair
51824,functional
60216,non functional
57481,non functional
3996,functional needs repair
24854,functional
43420,non functional
70468,functional needs repair
38305,functional
57179,functional needs repair
70388,functional
67589,functional needs repair
69974,functional needs repair
8854,functional
71663,non functional
69272,functional needs repair
49119,functional
15638,functional
9086,non functional
56422,functional
39106,functional
4515,functional needs repair
48594,non functional
63779,functional needs repair
60740,functional
61242,non functional
65001,functional needs repair
2601,non functional
52456,functional
21873,non functional
25505,functional needs repair
21890,functional needs repair
52336,functional needs repair
57756,functional
45465,functional needs repair
4989,functional
51585,functional
50533,functional
54866,functional
23793,functional needs repair
50135,non functional
26549,functional needs repair
66920,non functional
35517,non functional
390,non functional
13645,functional
39327,functional
58900,functional needs repair
2100,functional needs repair
31521,non functional
277,functional needs repair
33937,functional
42545,functional
7614,functional needs repair
46861,functional
35278,non functional
71773,non functional
52392,functional needs repair
47229,functional needs repair
10716,non functional
13923,non functional
42206,functional needs repair
965,functional
66646,functional needs repair
17301,non functional
21533,functional
37797,functional needs repair
19241,functional needs repair
15296,functional needs repair
41472,non functional
73859,functional
20153,functional
71684,functional needs repair
8321,functional needs repair
68979,functional
48850,non functional
64251,non functional
3583,functional needs repair
33326,non functional
8500,functional
67047,non functional
24896,functional needs repair
39527,non functional
3089,functional needs repair
66477,functional needs repair
24107,functional
7823,functional
32016,functional
35048,non functional
70580,functional needs repair
47503,functional
37357,functional needs repair
1195,non functional
52309,non functional
19655,functional needs repair
39455,non functional
52757,non functional
62729,functional
24324,functional needs repair
51298,functional needs repair
17127,non functional
28152,non functional
14259,functional needs repair
47461,functional needs repair
65878,non functional
58913,functional needs repair
70035,functional
37446,functional needs repair
30337,non functional
57584,non functional
67193,functional needs repair
62103,non functional
22896,functional
5934,functional needs repair
61722,functional
9299,non functional
68558,functional needs repair
51165,functional needs repair
8657,functional
54952,non functional
53160,non functional
17393,functional
33016,non functional
25929,functional needs repair
41102,functional
11093,non functional
52744,non functional
23484,functional needs repair
13139,functional needs repair
55439,functional needs repair
41539,functional needs repair
47692,non functional
60165,functional needs repair
64683,functional needs repair
7089,functional
13516,non functional
47720,functional needs repair
22588,functional
28580,non functional
9075,functional needs repair
25066,functional
28284,functional needs repair
67568,functional needs repair
64823,functional
8243,non functional
2556,non functional
58746,functional
18288,functional
72822,functional
5178,functional
66294,functional
14451,functional needs repair
48600,functional needs repair
27513,non functional
36889,functional needs repair
663,functional needs repair
10646,functional
35103,non functional
50804,non functional
29635,functional
47604,functional
49844,functional needs repair
69068,non functional
43074,functional
71088,non functional
40470,functional needs repair
21920,non functional
51415,functional needs repair
15480,functional
21881,non functional
7780,functional
24908,functional needs repair
53915,functional needs repair
54560,non functional
15498,functional
20446,functional
5886,non functional
52883,functional
30892,non functional
37432,non functional
42574,non functional
61505,functional needs repair
44827,non functional
5951,non functional
48991,functional
22821,functional
46478,non functional
19831,functional needs repair
49317,non functional
18472,functional needs repair
58686,functional needs repair
47419,functional needs repair
44921,functional needs repair
55024,non functional
28971,functional
8108,non functional
32182,functional needs repair
40513,non functional
372,functional
49297,functional needs repair
24407,functional
44874,functional
25119,functional needs repair
3882,functional needs repair
73443,functional needs repair
56056,functional needs repair
22035,functional
46318,non functional
20802,functional
41941,functional needs repair
12044,non functional
47262,functional needs repair
19337,functional needs repair
38688,non functional
45341,functional
55661,non functional
32322,functional needs repair
41912,functional
26136,non functional
13480,functional needs repair
62035,non functional
50343,functional needs repair
68537,non functional
52293,functional needs repair
17764,non functional
67862,functional needs repair
38933,functional needs repair
68514,functional needs repair
65335,functional needs repair
27469,non functional
31290,functional
72594,non functional
2854,functional
19679,non functional
46470,functional needs repair
9931,functional
39214,non functional
3982,non functional
29633,functional
50872,functional needs repair
31969,non functional
51280,non functional
63438,non functional
52302,functional needs repair
44486,functional needs repair
4641,non functional
47724,functional needs repair
4393,functional
54938,functional needs repair
66983,non functional
55870,non functional
62561,functional
7975,functional needs repair
9418,functional needs repair
4929,functional needs repair
68311,non functional
15225,functional
51854,functional
40247,non functional
37958,non functional
19319,functional
27495,non functional
20111,functional needs repair
33231,non functional
44772,functional needs repair
53237,functional
23279,functional needs repair
66738,functional
73053,non functional
31190,functional
54820,non functional
54173,functional needs repair
40904,functional needs repair
43729,non functional
63132,functional needs repair
65274,functional needs repair
2012,functional
70647,non functional
6067,functional
47835,functional
14510,non functional
34536,functional needs repair
50168,functional needs repair
65018,functional
4960,functional
19291,non functional
11480,functional needs repair
74179,functional
46276,non functional
69469,functional
51844,functional needs repair
13340,functional
34046,non functional
72429,non functional
60034,functional needs repair
36173,functional needs repair
66575,non functional
33778,functional
52807,non functional
37283,functional needs repair
53688,non functional
54777,functional
10363,functional
42685,non functional
29334,functional needs repair
17320,non functional
7060,functional needs repair
3905,non functional
14607,functional
59091,functional
44927,non functional
59415,non functional
59722,functional needs repair
49411,functional needs repair
40903,functional needs repair
64786,functional
36207,functional
61178,functional needs repair
55377,non functional
34300,non functional
29483,non functional
58576,non functional
37659,non functional
63873,non functional
55723,functional
9950,functional needs repair
49680,non functional
30329,functional
64912,non functional
21165,non functional
42112,functional
25108,non functional
55021,functional needs repair
14319,functional needs repair
23587,functional
27217,functional needs repair
62333,functional
3284,non functional
38299,functional
35668,functional needs repair
10228,functional needs repair
67801,non functional
63324,functional
33451,non functional
46306,non functional
37149,non functional
29770,functional
14731,functional
7963,functional needs repair
55945,functional needs repair
7645,functional needs repair
7244,functional
40114,non functional
37615,non functional
54151,functional
64712,non functional
40499,functional
71171,non functional
20712,functional
20187,functional needs repair
12383,non functional
33364,functional
9646,non functional
12201,functional needs repair
1782,functional needs repair
42747,non functional
12125,functional needs repair
53260,functional
55023,functional
7865,non functional
66269,functional
45049,functional needs repair
4988,functional needs repair
17387,non functional
41771,non functional
44806,non functional
9157,non functional
70881,functional
59951,functional needs repair
47581,functional needs repair
14986,functional
71499,functional needs repair
32928,non functional
11934,non functional
54065,functional needs repair
25479,functional needs repair
38302,functional
32973,functional
52140,non functional
51060,functional needs repair
33106,functional needs repair
55127,functional needs repair
8640,non functional
43117,functional needs repair
9966,functional needs repair
11183,functional needs repair
72250,functional needs repair
50586,functional
48093,non functional
37435,functional
9379,non functional
65657,functional
34535,non functional
26262,functional
14458,functional needs repair
33972,non functional
40238,functional needs repair
70610,non functional
47960,non functional
71481,functional needs repair
10946,functional needs repair
68239,non functional
56314,non functional
20772,non functional
41027,functional needs repair
57639,functional needs repair
42841,non functional
8016,non functional
38349,functional needs repair
68114,functional needs repair
53733,non functional
53513,functional
50420,functional needs repair
31043,non functional
11436,functional needs repair
66544,functional
66297,functional needs repair
9975,non functional
21663,functional needs repair
66747,functional
8343,functional
43675,functional needs repair
12325,non functional
27609,functional needs repair
70092,functional needs repair
4092,functional needs repair
60469,non functional
15869,functional
31689,non functional
40197,functional needs repair
35039,functional needs repair
19866,non functional
65864,functional needs repair
54111,non functional
65616,functional
24954,non functional
55924,functional
48299,functional needs repair
51679,non functional
7861,functional
74037,functional needs repair
2367,functional needs repair
60329,functional needs repair
16467,functional needs repair
36876,non functional
42906,functional
58855,non functional
48072,functional needs repair
34861,non functional
38446,functional needs repair
25076,non functional
42010,functional needs repair
27880,non functional
49961,functional
32989,functional
17483,non functional
54815,non functional
16359,functional needs repair
54840,functional needs repair
6252,functional
46589,functional
65044,non functional
52749,non functional
31792,functional needs repair
72814,functional needs repair
19523,functional needs repair
32936,non functional
28011,non functional
49940,functional needs repair
21296,functional
57692,functional
60900,functional
69726,functional needs repair
4707,functional needs repair
5501,non functional
37805,non functional
20466,non functional
915,non functional
15844,non functional
60509,functional needs repair
22552,functional needs repair
47386,non functional
8521,functional needs repair
54730,functional
58417,functional needs repair
11731,functional
40490,non functional
17385,non functional
63184,functional needs repair
45621,non functional
42679,functional needs repair
64602,functional
33317,functional needs repair
38658,functional needs repair
64299,non functional
36030,functional needs repair
18940,functional
45669,functional
19668,functional needs repair
44209,functional
73269,functional needs repair
72767,non functional
68471,non functional
907,functional needs repair
57724,non functional
19492,functional needs repair
18247,non functional
61793,functional
68182,functional needs repair
69769,functional needs repair
1580,non functional
9327,functional needs repair
18330,functional
9250,non functional
29932,functional
22830,non functional
58200,non functional
30920,non functional
9138,functional needs repair
50234,non functional
54691,functional needs repair
16393,functional
56549,non functional
9832,functional needs repair
31881,functional
12886,functional
58897,functional needs repair
830,non functional
15950,non functional
26265,functional
46220,functional needs repair
22347,functional needs repair
2860,functional
19021,functional needs repair
3484,functional needs repair
30298,non functional
39782,functional needs repair
74005,functional
5674,non functional
9381,non functional
3895,non functional
1673,functional needs repair
29551,functional needs repair
41475,functional
67870,functional needs repair
2791,functional
42255,functional
67164,functional
12440,functional needs repair
13193,functional
60880,non functional
71008,functional
67514,functional needs repair
34910,functional needs repair
383,non functional
23977,functional needs repair
70543,functional needs repair
2906,non functional
33810,non functional
10021,non functional
46730,functional needs repair
1663,functional
2408,functional needs repair
72505,functional
65019,non functional
42313,functional needs repair
340,functional
50285,functional
3409,functional needs repair
26378,functional needs repair
47552,non functional
32262,functional needs repair
58637,non functional
34827,functional
63294,non functional
44867,functional needs repair
26751,functional needs repair
66574,non functional
39354,functional
21479,functional needs repair
57899,functional
60079,functional needs repair
62070,functional needs repair
20628,non functional
11344,functional needs repair
62122,functional needs repair
51867,functional
51667,functional needs repair
16857,functional
27022,non functional
10438,functional
57755,functional
22384,functional needs repair
3380,non functional
41843,functional needs repair
35208,functional needs repair
37152,functional
47925,functional needs repair
43946,functional needs repair
2932,non functional
11829,non functional
59013,functional needs repair
48338,functional
71276,non functional
62998,functional needs repair
6708,functional
9969,functional needs repair
5567,functional
61598,non functional
20745,functional needs repair
72485,functional
53890,functional
62984,functional needs repair
56024,non functional
64958,functional
36386,non functional
12970,functional
63672,non functional
1545,non functional
68416,functional needs repair
53929,functional
59291,non functional
20931,functional
18781,functional
15430,functional
54042,functional
56896,functional needs repair
2579,functional
65982,functional
8486,non functional
15871,non functional
36433,functional needs repair
65239,non functional
42513,functional needs repair
63248,functional needs repair
2959,functional needs repair
64833,functional needs repair
54346,functional
12284,functional needs repair
18056,non functional
9415,functional
10574,non functional
67761,functional
2413,functional needs repair
60358,functional needs repair
72803,functional needs repair
71644,functional
43929,functional
23370,functional needs repair
38121,non functional
71352,non functional
26630,functional
72503,functional needs repair
36667,functional needs repair
13838,non functional
73762,non functional
56917,non functional
64901,non functional
11878,functional
11761,functional
22410,non functional
29102,functional needs repair
36539,functional
9758,functional needs repair
28981,functional
56273,non functional
35854,functional
38840,functional needs repair
32235,functional
36097,functional
54661,functional
61700,functional
71556,non functional
9296,functional needs repair
26823,functional
45401,non functional
862,functional needs repair
12857,functional needs repair
60984,functional needs repair
68476,functional needs repair
18299,non functional
48846,functional needs repair
6446,functional
63522,non functional
66298,non functional
39348,non functional
25325,non functional
38166,functional needs repair
10753,functional needs repair
6496,non functional
66416,functional
47968,functional
30436,non functional
53608,functional
66036,functional needs repair
46595,functional needs repair
18890,non functional
1978,non functional
10656,non functional
69297,functional
43482,functional needs repair
43158,functional needs repair
18733,functional needs repair
27893,non functional
72342,functional
37520,functional
11453,functional needs repair
39911,non functional
51620,functional needs repair
18133,non functional
4572,non functional
55691,functional
42966,non functional
66569,non functional
7200,functional needs repair
53136,non functional
25723,non functional
66123,functional needs repair
7672,non functional
37943,functional
2142,non functional
66405,functional needs repair
13101,non functional
73963,functional needs repair
26444,functional needs repair
19007,non functional
71761,functional
1467,functional
35518,functional
32922,functional needs repair
43852,functional needs repair
29438,functional needs repair
56706,non functional
39407,functional
58835,non functional
43397,functional
9994,non functional
7622,functional needs repair
34194,functional needs repair
13045,non functional
32959,non functional
50876,functional
31094,functional needs repair
37473,functional needs repair
61430,functional
47922,functional needs repair
52355,functional needs repair
65517,functional
42861,non functional
59615,functional
28406,non functional
3716,non functional
219,non functional
2079,non functional
3612,functional needs repair
50670,non functional
33118,functional needs repair
25722,functional
56582,functional needs repair
7760,functional
39295,functional needs repair
68787,functional needs repair
64264,non functional
35160,functional
49452,non functional
53668,non functional
67380,non functional
45974,functional needs repair
11062,functional needs repair
27946,functional needs repair
50414,functional
38773,non functional
39624,functional
72477,functional
61146,functional needs repair
22496,functional
39554,non functional
23463,non functional
26384,functional
42071,functional
38972,functional needs repair
44617,functional
32282,non functional
8586,functional
36903,functional
55556,functional
21436,functional needs repair
17030,non functional
51806,non functional
44903,non functional
1957,non functional
20102,functional needs repair
39391,functional needs repair
10871,functional
67815,non functional
19183,non functional
17711,non functional
59743,functional
11844,non functional
40062,non functional
40682,functional needs repair
71690,functional needs repair
22833,functional
16908,functional needs repair
43496,non functional
62050,functional
65634,functional needs repair
6309,functional needs repair
38784,functional needs repair
38329,non functional
69029,functional
25515,non functional
30870,functional
34228,functional
42698,functional
31674,functional needs repair
2848,functional
52616,functional needs repair
28760,functional needs repair
1188,non functional
13957,non functional
20847,functional
39895,functional needs repair
44133,non functional
47704,functional
68173,non functional
40526,non functional
26285,functional needs repair
67502,functional needs repair
57809,non functional
3915,non functional
69110,non functional
21675,non functional
16738,functional
13627,functional
13404,functional needs repair
16649,non functional
8572,non functional
71169,functional
71519,functional needs repair
72287,non functional
19168,non functional
25981,functional needs repair
33996,functional
69749,non functional
53037,non functional
49611,non functional
52353,functional needs repair
71599,non functional
29631,non functional
54016,functional
71623,functional needs repair
67739,functional needs repair
30275,functional needs repair
29073,functional
59974,functional
47612,non functional
15654,functional needs repair
12002,functional needs repair
10489,functional
49293,functional needs repair
23467,functional
6668,non functional
6876,non functional
11289,functional needs repair
30283,functional needs repair
55091,non functional
26166,functional needs repair
3449,functional needs repair
7498,functional
62730,functional needs repair
68654,functional needs repair
5300,non functional
22742,functional needs repair
2653,non functional
71210,non functional
24301,functional
51174,non functional
57324,non functional
47760,functional
34478,functional needs repair
44012,functional
50314,functional
24528,non functional
57041,functional
6407,non functional
42635,non functional
73702,non functional
67087,functional needs repair
7398,functional needs repair
20430,functional
60819,functional
59586,non functional
49192,functional
39902,non functional
52301,non functional
50482,functional
36023,functional
42509,functional needs repair
42398,non functional
56132,non functional
37018,non functional
33205,functional needs repair
57405,functional
66229,functional
22953,functional needs repair
67348,functional needs repair
10496,functional
49208,functional
29525,functional
51648,functional needs repair
49307,non functional
6408,non functional
53899,non functional
46623,functional needs repair
12537,non functional
1365,functional needs repair
54115,functional
52656,functional needs repair
40498,functional needs repair
48970,functional
56235,non functional
36070,non functional
63964,non functional
32271,non functional
15011,functional needs repair
38607,non functional
39836,non functional
65630,non functional
58295,functional needs repair
4210,functional
3161,functional
21846,non functional
28509,functional
20933,functional
20195,functional needs repair
528,non functional
55726,functional needs repair
39291,functional
39436,non functional
29216,non functional
12682,functional
48580,functional needs repair
22504,functional
54078,non functional
18687,functional needs repair
41128,non functional
73213,functional needs repair
52967,non functional
73043,functional
23440,functional
51098,non functional
37286,functional needs repair
3953,functional
70347,functional needs repair
61706,functional
45392,functional needs repair
12844,functional
8890,non functional
49091,functional
44085,functional
